session_id,year,event_name,samples,start_ms,end_ms,median_gap_ms,p95_gap_ms,max_gap_ms,max_air_temp_delta_c,max_track_temp_delta_c,max_humidity_delta_pct,max_pressure_delta_mbar,max_wind_speed_delta_mps,max_wind_direction_delta_deg,rainfall_samples,rainfall_transitions,large_gap_flag,temperature_jump_flag,pressure_jump_flag,humidity_jump_flag,wind_jump_flag
2025-abu-dhabi-grand-prix-r,2025,Abu Dhabi Grand Prix,154,60108,9240886,60003.0,60021.4,60224.0,0.10000000000000142,1.0,1.0,0.20000000000004547,1.5999999999999999,180.0,0,0,False,False,False,False,True
2025-australian-grand-prix-r,2025,Australian Grand Prix,178,7776,10629022,60004.0,60038.0,60092.0,0.29999999999999716,0.5,6.0,0.5,3.5999999999999996,166.0,58,17,False,False,False,False,True
2025-austrian-grand-prix-r,2025,Austrian Grand Prix,161,28548,9629045,60002.0,60022.0,60081.0,0.3000000000000007,2.0,2.0,0.20000000000004547,2.5999999999999996,178.0,0,0,False,False,False,False,True
2025-azerbaijan-grand-prix-r,2025,Azerbaijan Grand Prix,156,23331,9323805,60001.0,60022.0,60072.0,0.10000000000000142,0.8000000000000007,2.0,0.40000000000009095,1.7999999999999998,179.0,0,0,False,False,False,False,True
2025-bahrain-grand-prix-r,2025,Bahrain Grand Prix,158,14542,9435360,60004.0,60030.0,60137.0,0.10000000000000142,1.7999999999999972,1.0,0.20000000000004547,1.5000000000000002,153.0,0,0,False,False,False,False,True
2025-belgian-grand-prix-r,2025,Belgian Grand Prix,223,36172,13357618,60005.0,60032.0,60200.0,0.3000000000000007,1.1000000000000014,4.0,0.20000000000004547,1.5999999999999999,178.0,102,12,False,False,False,False,True
2025-british-grand-prix-r,2025,British Grand Prix,155,19723,9260295,60003.0,60026.05,60220.0,0.40000000000000213,3.3000000000000007,4.0,0.20000000000004547,2.6999999999999997,180.0,28,4,False,False,False,False,True
2025-canadian-grand-prix-r,2025,Canadian Grand Prix,167,34453,9995075,60001.0,60018.75,60032.0,0.3000000000000007,0.8999999999999986,4.0,0.20000000000004547,1.7999999999999998,180.0,1,2,False,False,False,False,True
2025-chinese-grand-prix-r,2025,Chinese Grand Prix,154,44889,9225673,60003.0,60022.4,60066.0,0.1999999999999993,1.7999999999999972,1.0,0.1999999999999318,1.7999999999999998,148.0,0,0,False,False,False,False,True
2025-dutch-grand-prix-r,2025,Dutch Grand Prix,159,58063,9538917,60003.0,60034.0,60060.0,0.1999999999999993,1.0,2.0,0.20000000000004547,1.6,153.0,0,0,False,False,False,False,True
2025-emilia-romagna-grand-prix-r,2025,Emilia Romagna Grand Prix,150,34663,8975262,60003.0,60032.8,60066.0,0.1999999999999993,1.3000000000000043,2.0,0.3000000000000682,3.3000000000000003,171.0,0,0,False,False,False,False,True
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,157,15360,9375778,60002.0,60024.75,60064.0,0.1999999999999993,1.7000000000000028,2.0,0.1999999999999318,1.9,169.0,0,0,False,False,False,False,True
2025-italian-grand-prix-r,2025,Italian Grand Prix,144,18360,8598890,60001.0,60025.6,60047.0,0.3000000000000007,1.8999999999999986,3.0,0.20000000000004547,1.8,155.0,0,0,False,False,False,False,True
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,140,25703,8366377,60001.0,60030.2,60082.0,0.10000000000000142,0.6999999999999993,2.0,0.20000000000004547,1.2,175.0,0,0,False,False,False,False,True
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,141,6103,8406722,60003.0,60026.05,60140.0,0.10000000000000142,5.899999999999999,1.0,0.1999999999999318,1.1,179.0,0,0,False,False,False,False,True
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,162,18513,9678846,60001.0,60020.0,60051.0,0.3000000000000007,0.6000000000000014,1.0,0.20000000000004547,2.0,176.0,0,0,False,False,False,False,True
2025-miami-grand-prix-r,2025,Miami Grand Prix,149,17964,8898989,60006.0,60029.65,60046.0,0.20000000000000284,2.8000000000000043,4.0,0.3000000000000682,1.3,171.0,5,4,False,False,False,False,True
2025-monaco-grand-prix-r,2025,Monaco Grand Prix,160,18586,9559327,60003.0,60027.4,60060.0,0.3000000000000007,1.6999999999999957,3.0,0.20000000000004547,1.5000000000000002,180.0,0,0,False,False,False,False,True
2025-qatar-grand-prix-r,2025,Qatar Grand Prix,149,55358,8936070,60002.0,60026.95,60062.0,0.10000000000000142,1.3000000000000007,1.0,0.20000000000004547,1.7,176.0,0,0,False,False,False,False,True
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,152,61035,9121811,60003.0,60023.0,60127.0,0.1999999999999993,0.6000000000000014,2.0,0.20000000000004547,1.6,174.0,0,0,False,False,False,False,True
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,142,2318,8462614,60001.0,60020.0,60059.0,0.3000000000000007,0.7999999999999972,5.0,0.20000000000004547,1.5,174.0,0,0,False,False,False,False,True
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,161,38510,9639692,60007.5,60033.05,60040.0,0.20000000000000284,4.200000000000003,6.0,0.20000000000004547,0.7999999999999998,154.0,6,4,False,False,False,False,True
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,155,17775,9258428,60003.0,60035.4,60082.0,0.3000000000000007,1.3999999999999986,2.0,0.2999999999999545,2.4,176.0,0,0,False,False,False,False,True
2025-united-states-grand-prix-r,2025,United States Grand Prix,154,34333,9214705,60001.0,60017.4,60041.0,0.29999999999999716,0.5,1.0,0.20000000000004547,2.4000000000000004,172.0,0,0,False,False,False,False,True
